model,epochs,test_mae_ppb,test_rmse_ppb,train_mse_scaled_last,test_mse_scaled_last,test_mae_scaled_last,checkpoint,predictions_csv
mamba,200,0.7077107429504395,0.9062641859054565,0.010763463485742138,0.004619311497491949,0.05307493911069982,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results_longrun_20260728_194200/checkpoints/mamba_daily.pt,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results_longrun_20260728_194200/predictions_mamba.csv
gnn,200,0.7555608153343201,0.9387238621711731,0.00997075634816542,0.004956137871041017,0.05666347671957577,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results_longrun_20260728_194200/checkpoints/gnn_daily.pt,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results_longrun_20260728_194200/predictions_gnn.csv
transformer,200,0.8432527184486389,1.032550573348999,0.011948096765008104,0.005996397751219133,0.06323996010948629,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results_longrun_20260728_194200/checkpoints/transformer_daily.pt,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results_longrun_20260728_194200/predictions_transformer.csv
