model,epochs,test_mae_ppb,test_rmse_ppb,train_mse_scaled_last,test_mse_scaled_last,test_mae_scaled_last,checkpoint,predictions_csv
gnn,50,0.7449086904525757,0.9304160475730896,0.01094366414511374,0.0048688004998599784,0.05586461459889131,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results/checkpoints/gnn_daily.pt,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results/predictions_gnn.csv
mamba,50,0.7202004194259644,0.9340261220932007,0.01195817398267972,0.004906656286295723,0.05401161838980282,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results/checkpoints/mamba_daily.pt,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results/predictions_mamba.csv
transformer,50,0.9189836382865906,1.1180919408798218,0.015031908694550934,0.007031090294613558,0.06891940481522504,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results/checkpoints/transformer_daily.pt,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results/predictions_transformer.csv
