model,epochs,test_mae_ppb,test_rmse_ppb,train_mse_scaled_last,test_mse_scaled_last,test_mae_scaled_last,checkpoint,predictions_csv
transformer,1,1.6950141191482544,1.9795265197753906,0.0668609673269542,0.010410458497379137,0.08736689194389012,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results_hourly_day_to_nextday_check/checkpoints/transformer_daily.pt,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results_hourly_day_to_nextday_check/predictions_transformer.csv
mamba,1,2.2005178928375244,2.438836097717285,0.025936470647533256,0.015802008950191994,0.11342229013857634,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results_hourly_day_to_nextday_check/checkpoints/mamba_daily.pt,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results_hourly_day_to_nextday_check/predictions_mamba.csv
gnn,1,5.207271575927734,5.3091254234313965,0.19568659158715282,0.07488470492155655,0.26840081422225287,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results_hourly_day_to_nextday_check/checkpoints/gnn_daily.pt,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results_hourly_day_to_nextday_check/predictions_gnn.csv
