model,epochs,test_mae_ppb,test_rmse_ppb,train_mse_scaled_last,test_mse_scaled_last,test_mae_scaled_last,checkpoint,predictions_csv
mamba,50,0.9130774140357971,1.1522462368011475,0.015283492649970238,0.007467206611352808,0.0684764721814324,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results/checkpoints/mamba_daily.pt,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results/predictions_mamba.csv
gnn,50,1.0282474756240845,1.2980622053146362,0.027669079359205734,0.009476730753393734,0.0771136858884026,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results/checkpoints/gnn_daily.pt,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results/predictions_gnn.csv
transformer,50,1.3408697843551636,1.576067566871643,0.04604780838453836,0.013970670279334574,0.10055887558880974,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results/checkpoints/transformer_daily.pt,/mnt/data3/isybelle1118/NO2 Forecasting/forecast_daily/results/predictions_transformer.csv
