,MAE,RMSE,R2
Monthly Climatology,3.383225093542464,5.190756581372102,0.4594731006392042
DOY Cosine,3.540796061828132,5.325676262143098,0.41485187101263155
Persistence (t-1),1.5846039315103522,2.8348199686305895,0.8336712340579298
